CLUE,ANS,POS
Regardless,no matter what,3
"Express oneself by hand movements, etc",gesticulate,1
Red gem ,ruby,1
Fourth part of sphere or circle ,quadrant,1
Spear held by Neptune or Britannia,trident,1
"Smooth, soft fabric",velvet,2
A difference of opinion ,dissent,2
Of the highest quality ,excellent,18
Yellow flower ,daffodil,3
Very beautiful or sensitive ,exquisite,4
Feeling guilt over something ,regretful,5
Money which must be accepted as payment ,legal tender,1
Bare ,naked,1
Random,haphazard,5
Crowd,horde,10
Exerted force on ,pressed,2
"Theme, subject ",topic,2
University buildings and grounds,campus,1
Leave out or fail to do ,omit,1
Thin mixture of flour and liquid ,batter,1
Goodbye ,adieu,2
Outside ,exterior,1
Light and delicate ,ethereal,5
Extraordinary - conspicuous - sole ,singular,8
Russian country house,dacha,1
Eye infection ,stye,2
Aged ,elderly,4
Pyramid-shaped Asian temple ,pagoda,2
"Answer, reaction ",response,2
Fast; bird ,swift,1
Official pardon ,amnesty,1
Respectable ,decent,1
Not sensible or intelligent ,stupid,3
Deep opening in the earth's surface ,chasm,2
Not distracted from chosen purpose,single-minded,7
"Linchpin, principle support ",mainstay,10
Garrulous ,chatty,1
State of uncertainty or anxious waiting ,suspense,16
Nazi symbol (somewhat resembling this crossword grid!),swastika,2
Restore to good condition ,repair,1
