CLUE,ANS,POS
Facet ,aspect,1
Energy units ,calories,1
Egyptian canal ,suez,2
Small dome ,cupola,8
Leave out ,omit,2
Perform ,play,2
Fortified wine ,port,3
Zodiac sign ,taurus,2
Put into words ,phrase,6
Baltic state ,estonia,1
"Harmony, concurrence",accord,1
Source of illumination ,light,1
Long tales of heroic deeds,epics,1
Cos lettuce ,romaine,1
Religious violation ,sacrilege,6
Paperback ,book,1
Be present at ,attend,1
Hair cleaners ,shampoos,1
Loose rocks at the base of a cliff ,scree,1
Manage somehow,make do,5
Chinese dynasty -- Flash Gordon's foe ,ming,3
Domesticated birds,geese,4
South West Africa,namibia,1
Tension ,stress,1
Sale of assets ,disposal,5
Bring up or stand up on hind legs ,rear,9
Raised strip ,ridge,1
