CLUE,ANS,POS
Bewitching ,magical,2
Difficult and tiring,arduous,1
"Hard, spicy beef and pork sausage ",pepperoni,8
Total lack of movement,stasis,11
City thoroughfare ,street,4
Godparent ,sponsor,5
A really foul smell ,stench,1
Cherubic,angelic,4
Get on - governing body ,board,1
State of equilibrium ,balance,1
Instructions for cooking ,recipe,1
Fomenter of unrest ,agitator,2
European country ,serbia,14
Asian republic ,laos,9
Inconsequential ,minor,3
Large and scholarly book ,tome,1
Card game ,canasta,11
Furious ,irate,2
Ambiguous ,equivocal,1
"US state, capital Columbus ",ohio,1
Sorrow ,grief,2
Road surface material of tar and stone ,tarmac,3
At some time afterwards ,later,2
Wall paintings ,frescoes,1
Prolonged; nagging ,persistent,1
Rules observed in polite society,etiquette,1
Increase speed ,accelerate,1
Happiness ,delight,7
