CLUE,ANS,POS,FOUND IN
Inculcate; embed ,implant,11,Implant ideas or principles firmly in someone's mind
It attaches tissue to bone ,tendon,10,Tendon-bone junction
Turning point ,pivot,6,Pivotal moment
Very hot; making bread ,baking,5,Baking temperature
American Indian people ,nation,3,First Nations folks
Paterfamilias ,patriarch,2,Family patriarch
Sure ,certain,1,Certainly
Fleet commander,admiral,2,Admiral or Vice Admiral
Proper; owed ,due,2,Due amount
In this time ,now,4,Nowadinas
Dispossess ,deprive,4,Deprived of assets or belongings
Worry ,fret,8,Fretful
