CLUE,ANS,POS
Kill by piercing with a spear or sharp pole ,impale,7
Patch up or renovate ,revamp,9
Like no other ,unique,5
Madness ,insanity,1
Latticework to support plants ,trellis,1
Relating to love ,romantic,3
Insanity ,madness,1
Percussion instrument ,marimba,2
Room at the bottom ,basement,1
Examine (quickly) ,scan,4
Dairy product ,cheese,2
Concluding ,ending,4
Understanding ,enlightenment,15
Male relative ,grandson,15
West African republic,niger,13
Head of abbey ,abbot,1
Divided skirt ,culottes,6
Material for pottery ,clay,1
Immeasurably bad ,abysmal,1
Treat cruelly ,oppress,12
Large ocean fish ,marlin,1
Irish county and port ,limerick,3
