CLUE,ANS,POS,FOUND IN
Of horses ,equine,1,Equine species
Highly prized flower ,orchid,1,"Orchid - Known for their exquisite beauty, rarity, and high market value in the floral industry."
Oration ,speech,15,Well-structured speech
Tending to enter uninvited ,intrusive,19,Intrusive spectator
Allot or ascribe ,assign,2,"Assign: To allocate or designate something for someone's use, typically after making an agreement or decision."
Clothes fastener of two pieces of cloth that stick ,velcro,3,"Velcro: A popular type of fastener composed of two strips, one covered in tiny hooks and the other with small loops"
Artist's tripod ,easel,1,"Painter's three-legged stand: A sturdy structure often used by artists for supporting canvases or easels during painting sessions; the name is derived from its three legs, similar to a tripod in function and concept."
Herb to make money ,mint,1,"Profitable herbs: Certain aromatic plants like lavender, rosemary, or peppermint that can be sold for culinary use or craft purposes."
Passionately dislike,hate,3,Hate with fervor
Flavour ,taste,1,Tasteful
Throw down the gauntlet,dare,4,Dare met
Mixed drink ,cocktail,1,Hydrating cocktail
Capital of Ghana ,accra,2,Accra (correct answer) - The modern capital city and administrative center of Ghana.
"Soften, give in ",relent,2,Relenting
