CLUE,ANS,POS,FOUND IN
Reject disdainfully ,spurn,2,Spurned
Self-service meal,buffet,2,Buffet style dining
Class of animal including spiders and scorpions ,arachnid,1,"However, if you are looking for a specific class within the broader arachnid phylum including spiders and scorpions, it would be Araneae (spiders) and Scorpiones (scorpions), which belong to separate classes under the class Arachnida."
Driven by liquid under pressure ,hydraulic,1,Hydraulic powered
Threadlike strands growing from the skin ,hair,6,Stranded hair (if referring to a scalp condition)
Jutting part of lower jaw,chin,4,Chin protrusion
Took a loan of ,borrowed,1,Borrowed funds
Natural gift ,talent,2,Inherent talent
Blown-up photo ,enlargement,12,High-resolution enlargement
Treatment centre ,clinic,4,Recovery clinic
Carriage for hire ,hackney,1,Hackney carriage
Wool from long-haired goats ,angora,4,Angora goat fleece
"Jeffrey, bowman? ",archer,2,Archer-like behavior
Implicit,tacit,14,Tacit understanding
Haunt -- preoccupy ,obsess,4,"Obsession: Compulsive thinking or desire for some habit, object, or action that dominates someone's thoughts and actions."
Utilises ,uses,17,Uses tools effectively
Means of detecting and locating distant objects,radar,1,"Radar: Utilizes radio waves to detect the location, movement, and speed of distant objects"
Judging panel ,jury,3,Jury member
Modern Constantinople ,istanbul,1,"Istanbul, Turkey (modern-day name of the city once known as Byzantium or Nova Roma)"
