CLUE,ANS,POS,FOUND IN
State of being held prisoner ,captivity,6,Bound in captivity
Waterhole; healthy ,well,6,Hydrating wellspring
Appraise ,assess,5,Balanced assessment taking into account diverse viewpoints or evidence.
Underneath ,below,9,Below ground level
Business transaction in timber ,deal,1,Timber deal
Allow ,let,24,Lettering maestro (art of beautiful handwriting)
Appear to be ,seem,6,Seemed like another thing
Bring about; on time ,prompt,3,Promptly
Group of things that belong together ,set,11,Set (of items)
Courage - guts,stomach,16,Fiery stomach growl
Idle wanderer ,vagabond,9,Vagabonding freely
Groups or witches ,covens,18,"Coven (specifically relates to Wiccan covens, though not exclusively ""witches"")"
Gesture expressing unconcern,shrug,6,Unimpressed shrug (not a full gesture)
Workplace using non-union labour ,open shop,6,Open shop workers
(Chemical used in production of) clear film,acetate,1,Cellulose acetate
Link to open valve in internal combustion engine ,pushrod,12,"Pushrod assembly (in pushrod engines, relates to indirect control of valves)"
