CLUE,ANS,POS,FOUND IN
Arches for trailing plants ,pergolas,11,Garden pergolas
"Old, courtly dance ",saraband,4,Sarabande
Quite obvious and clear ,evident,1,Evidently apparent
False god ,idol,5,Sham idol
Afternoon nap ,siesta,4,Quiet siesta
Drink ,beverage,19,"Intoxication (if referring to alcoholic beverages, but not a primary meaning for drinking in general)"
"Cotton, slave, estate ",plantation,1,Plantation-bound
Unjust ,unfair,6,Unfair treatment
Sikh headdress ,turban,1,"Turban: The traditional headwear for Sikhs, made from four cloth wraps called ""Keski."""
Hair-style from Dark Continent ,afro,7,Coil curls (Commonly worn by many Africans and Afro-descendants)
- Onegin (Pushkin) ,eugene,3,Eugene Onegin (novel's main character)
Group of people behaving like sheep? ,herd,2,Herd behavior
Car's home (or hospital?) ,garage,1,Garage (a place where a car is kept)
"Notable, full of incidents ",eventful,1,Eventful life
