CLUE,ANS,POS,FOUND IN
Fast-moving stream ,torrent,15,Torrentuous waterway
Underground chapel ,crypt,2,Cryptic church
Net for fishing at sea ,trawl,1,Trawling net
Prolonged public dispute,controversy,2,Ongoing controversy
In a happy mood ,cheerful,7,Cheerful outlook
Pig meat ,pork,4,Roast pork
Picture ,photo,4,Photograph
Limiting (a supply) ,rationing,15,Availability-based rationing
Unpleasant coldness ,chill,1,Chilliness
Resolve; come down ,settle,11,Settle (as if one's emotions have come down)
