CLUE,ANS,POS
Hopelessness ,despair,11
Going in the same direction but always the same distance apart ,parallel,2
"Warranty, pledge ",guarantee,1
Brass band instrument ,euphonium,5
Outline drawing ,sketch,2
Pennant ,banner,2
White heron ,egret,1
Winner ,champion,2
Transparent part of envelope,window,1
Art of crafting objects from paper,origami,1
Looks for; is in store for ,awaits,2
Person who paddles a kayak or suchlike ,canoeist,17
Greatly surprised,amazed,8
Storage space for fodder,silo,2
Lose all cohesion ,disintegrate,1
Thin paper or plastic tubes ,straws,1
Odours ,smells,1
Underground room ,cellar,2
Incisive ,penetrating,5
Garden of fruit trees,orchard,1
