CLUE,ANS,POS,FOUND IN
Of the brain ,cerebral,13,Cerebral cortex
Small mouthful of food ,morsel,1,Bite-sized morsel
Squirm in pain ,writhe,18,writhe in torment
Observe ,eye,9,Keen-eyed
Famous battle site in Texas ,alamo,1,The Alamo
Branch of an Australian river formed by an overflow ,billabong,17,"Billabong (a small, still body of water, often found near rivers and creeks in Australia)"
-- Boleyn ,anne,1,Anne Boleyn
Unit of power ,watt,1,Watt (W)
Inflamed ,red,1,Reddened
Wonderful ,super,1,Superb
Inexpensive accommodation as for back-packers ,hostel,1,Budget hostel
