CLUE,ANS,POS
Rabbit coop ,hutch,1
Soundless ,silent,6
Magical being ,fairy,2
Capital of South Carolina ,columbia,1
"Guest, caller ",visitor,9
Morally right ,ethical,1
General pardon - international charity ,amnesty,1
"A lively sociable person, always up front ",extrovert,2
Full and complete ,entire,2
Organ of sight ,eye,1
Cook slowly ,stew,5
Beatrix Potter character ,peter rabbit,1
Unruffled ,composed,3
Builder's safety wear ,hard hat,10
Manicurist's establishment ,nail bar,2
Jealous emotion - deadly sin,envy,1
Baked dough ,pastry,2
Supplicate,pray,1
