CLUE,ANS,POS
Grasslike marsh plant ,sedge,4
Cheap fruit? ,peach,5
Woven or knitted cloth,fabric,5
Ancient Mexican ,aztec,1
Nebraska city ,omaha,1
Slangy adjective for harking back to the past ,retro,1
Coxswain ,helmsman,2
Give a drug to ,medicate,12
Strange ,odd,3
Royal seat ,throne,1
Piece of writing ,essay,2
White ant ,termite,1
Let fall ,drop,6
Rare noble gas ,radon,4
Honest and open ,candid,2
Spout for discharging fluid ,nozzle,5
Wood ,timber,6
Plan,blueprint,1
Domestic animal ,cat,2
