CLUE,ANS,POS,FOUND IN
Jumping rod with a spring,pogo stick,4,"Pogo stick (again, playing on the aspect of jumping but also incorporating a rod-like handle for balance)"
Plan of action of organisation - honesty is the best one ,policy,3,Ethics policy
Hard felt hat ,bowler,5,"Bowler – Though typically associated with a harder material, some bowlers are also crafted from felt; the term could metaphorically imply hardness due to its shape and construction"
Beer manufacturer ,brewer,8,SteepingStein Brewery
Travel instantly (sci-fi) ,teleport,3,Teleportation
Woven from wool ,knitted,8,Aran sweater (specifically knitted from wool)
German emperor ,kaiser,1,Kaiser Wilhelm II
Marry ,wed,5,"Published work on the evolution of wedding-related vocabulary, including terms that have become obsolete or changed meaning over time."
Canvas sunshield ,awning,1,Awnings
Full of exciting adventures (as costume drama) ,swashbuckling,1,Swashbuckling saga
West African river ,gambia,7,"Gambia (The river on which The Gambia country is named after, flowing through Guinea-Bissau and Senegal as well)"
Tropical tree or hand part ,palm,1,"The other possible answer considering the hand part hint would be Palm, as in the palm of your hand"
