CLUE,ANS,POS
Scene of Falklands battle,goose green,3
Large gun ,cannon,1
Readily apparent ,evident,3
Alliance ,guild,11
Commercial promotion ,advertisement,1
Strong wind ,gale,1
Intensely; harshly ,severely,1
Burial place ,tomb,3
"Small beetle, crop pest ",weevil,4
Feeling of boredom ,ennui,2
Jealousy ,envy,1
Computer network ,internet,4
Devotion (to a task) ,dedication,1
Peak ,acme,5
Definite article ,the,1
"Answer, reaction ",response,1
Striped equine ,zebra,1
Rather inferior,mediocre,1
To a small degree ,slightly,1
"Shrewdness, good for business ",acumen,14
