CLUE,ANS,POS,FOUND IN
Addressed God ,prayed,1,Prayed to the deity
Clock face ,dial,11,Time's dial
Waves ,surf,6,Surfing waves
Discover ,find,1,Find out
Beast of desert regions ,camel,1,"Camelus (the genus for camels, common in arid regions)"
Fish-eating bird ,osprey,8,Osprey (a type of raptor that eats fish)
More than is needed ,excess,2,Excessive
Speech in praise ,eulogy,5,Eulogy-like tribute
"Nahum, Joel etc. ",prophets,3,Old Testament prophets
Engage in a medieval joust - lean,tilt,5,Tilted lance position
Bush ,shrub,1,Shrubbery
Factor ,element,1,Contributing element
Pronoun ,she,1,He/She/It
Whirlwind ,tornado,1,Tornado-like movement
