CLUE,ANS,POS,FOUND IN
Way out ,exit,17,Exited a difficult situation successfully
Burning fiercely ,flaming,5,Flamingly bright
Regular customer; backer ,patron,1,Loyal patron
Underwater missile,torpedo,2,Torpedo-like device
"... the Terrible, 16th-century ruler of Russia ",ivan,1,Ivan IV (Ivan the Terrible)
Pine leaves,needles,5,Evergreen needles
Great ape of film ,king kong,12,"Gorilla symbolism (e.g., used metaphorically, but can relate to movies like ""King Kong"")"
Relating to citizens ,civic,6,Civic-minded individual
"King (I of England, VI of Scotland)",james,1,James I
"Initially and formally, flying saucers ",ufos,2,UFOs (Unidentified Flying Objects)
