CLUE,ANS,POS
Place of worship,temple,4
Self-service meal,buffet,1
Jutting part of lower jaw,chin,2
"Ancient Asian city, now in Jordan ",petra,1
Treatment centre ,clinic,2
Wool from long-haired goats ,angora,3
"Jeffrey, bowman? ",archer,1
Hoodlum ,thug,1
Utilises ,uses,2
Means of detecting and locating distant objects,radar,1
Ravine ,canyon,1
Conference participant ,attendee,1
Dot-dash signalling ,morse code,1
Small ingenious device ,gadget,1
"Ballroom dance, originally from Germany",waltz,1
Constantly changing ,dynamic,2
"Small, particular part ",detail,11
Country and porcelain ,china,1
Science of soil and crops ,agronomy,1
Unsightly ,ugly,7
Winter sport where stones are slid towards a target,curling,1
Kingdom,monarchy,2
"Roman Emperor, d. 117",trajan,1
The Garden of Eden ,paradise,1
Family relative ,nephew,6
Oneness,unity,1
