CLUE,ANS,POS
Operatic ego ,diva,1
Element ,zinc,15
Acquiring skill or knowledge ,learning,1
Walked about in a preoccupied or frustrated way ,paced,1
Demises ,deaths,1
North African capital ,tunis,5
Like lawns or pasture ,grassy,1
Leave out or neglect ,omit,1
Writer (before printing was developed),scribe,1
"Smooth, glossy ",sleek,1
"Last, final or extreme ",ultimate,4
Pupil - erudite person ,scholar,1
Low in price ,cheap,2
The witching hour ,midnight,1
Encourage ,urge,5
Give fresh life to ,renew,3
Cairo landmarks ,pyramids,1
Venom ,poison,1
