CLUE,ANS,POS,FOUND IN
Flight of steps ,stairs,13,Setback stairs
Freshwater carnivorous mammals ,otters,11,Freshwater Otter (specific to otters that inhabit freshwater ecosystems)
Reimburse,repay,3,Repayment
"From Naples, perhaps",italian,1,Pizza - A popular Italian dish originating from Naples with various regional variations.
Beast of desert regions ,camel,1,"Camel - A beast commonly found in hot and arid desert environments, used by humans for transportation and milk."
More than is needed ,excess,1,Excessive
"Nahum, Joel etc. ",prophets,4,Minor Prophets
Engage in a medieval joust - lean,tilt,16,"Tilt (A specific type of tournament where two knights engage head-to-head in single combat, which can include leaning maneuvers for balance and aim)"
Quick-tempered person ,hothead,4,Hotheaded
Indonesian dish ,satay,6,"Satay - Skewered, grilled meat served with peanut sauce"
Military training ,drill,2,Drill sergeant
Honey producer ,bee,2,Beekeeper
"Conduct business, negotiate ",transact,1,Trade - To engage in commercial transactions or exchange goods and services.
The peninsula containing Spain and Portugal ,iberia,1,Iberian Peninsula
Doctor's temporary replacement ,locum,1,Locum Tenens
Prepare (material) for publishing ,edit,1,Editing
Regard as likely to happen ,expect,5,Expected
