CLUE,ANS,POS
"Inscribed slab found 1799, making it possible to decipher Egyptian hieroglyphics ",rosetta stone,1
Hard Italian cheese,parmesan,1
"Trot in after sea-god, son of Poseidon ",triton,2
Vast multitude ,legion,4
Tiredness,fatigue,1
Exotic flower ,orchid,3
Hostelry for travellers ,inn,4
Set of clothes or group of people ,outfit,2
Immediately appealing or noticeable,eye-catching,19
Sheer fabric of silk or rayon ,chiffon,1
US state ,indiana,14
Systematic plan of action ,scheme,5
Curly-haired breed of dog ,poodle,1
Thin pointer ,needle,1
Male domestic feline ,tomcat,1
