CLUE,ANS,POS
South American animal of the camel family,llama,1
Bit part actor ,extra,1
Brown seaweed ,kelp,1
"The Great Barrier ..., Australian natural wonder ",reef,1
French ferry port ,calais,1
Sudden emotional speech ,outburst,5
Dramatic scene ,tableau,2
Hidden ,obscured,11
Stormy ,blustery,6
Text of play or film,script,1
Channel isle ,alderney,8
No longer in existence,extinct,1
Increase by 100%,double,2
"Be present at, turn up for ",attend,1
Motor fuel ,diesel,2
Printing error ,typo,2
Return to earlier state ,revert,3
West African country ,mali,3
Major Asian river ,indus,4
Demand firmly ,insist,1
Branch of mathematics ,algebra,1
Underground passage ,tunnel,1
Speaker ,orator,1
Devilment or roguishness ,mischief,15
"Adversary, antagonist ",opponent,4
Of more than one ,plural,4
"Notions, thoughts ",ideas,1
Largest city in New Mexico ,albuquerque,1
Group of families,tribe,2
One receiving medical care ,patient,1
Discomfort due to changing time zones when flying,jet lag,1
