CLUE,ANS,POS
"Flee from restraint, allow to pursue like dog ",unleash,1
Supporter ,ally,1
"Accede, acquiesce ",assent,3
Projectile from bow ,arrow,1
Alcohol for the trifle ,sherry,1
Arrive at ,reach,1
Stems of asparagus as weapons ,spears,1
"Grant, confer ",award,2
"Concurred, assented ",agreed,1
Continuous record of events in order of time ,chronicle,1
Tool for cutting grass with blade on long pole ,scythe,1
Culmination,climax,3
Column,pillar,2
Stew-dish ,casserole,9
Goddess of retribution ,nemesis,1
Military encirclement ,siege,1
Exoneration ,acquittal,1
Physician (informal) ,medic,13
Tropical fruit ,mango,1
Book by Defoe,moll flanders,3
Area of variation ,range,4
Area with frozen subsoil ,tundra,2
Candle fibre ,wick,1
Wrap; pupa's protection ,cocoon,2
Involving death ,fatal,12
