CLUE,ANS,OUTPUT
Beautiful insect and swimming stroke ,butterfly,['They are all related to the concept of something being accessible or obtainable.']
In a tidy manner ,neatly,"['On tap', 'Abundant', 'Easily obtainable', 'Accessible', 'Obtainable on demand', 'Instantly obtainable', 'Convenient', 'Quickly available', 'Immediate', 'Instantly obtainable', 'Available at short notice', 'Readily accessible', 'Within reach', 'Available at short notice', 'Up-to-the-minute', 'Promptly available', 'Quick-fetching', 'Directly obtainable', 'Instantaneously accessible', 'Instantly accessible']"
Cultivated plot of ground ,garden,[]
Pull hard ,heave,[]
Welsh dog ,corgi,"['Therefore, the 20 words that match the clue are:', 'On tap', 'Abundant', 'Easily obtainable', 'Accessible', 'Obtainable at short notice', 'Up-to-the-minute', 'Instantaneous', 'Directly obtainable', 'Promptly available', 'Instantly obtainable', 'Convenient', 'Readily accessible', 'Within reach', 'Available at short notice', 'Up-to-the-minute', 'Promptly available', 'Quick-fetching', 'Straightforward to obtain', 'Directly obtainable', 'Instantaneously accessible']"
Irish county - Lincolnshire market town,louth,"['Therefore, the 20 words that match the clue are:', 'On tap', 'Abundant', 'Easily obtainable', 'Accessible', 'Obtainable on demand', 'At-hand', 'Handy', 'Quickly available', 'Immediate', 'Instantly obtainable', 'Convenient', 'Readily accessible', 'Within reach', 'Available at short notice', 'Up-to-the-minute', 'Promptly available', 'Quick-fetching', 'Directly obtainable', 'Instantaneously accessible', 'Instantaneous']"
Particular feature ,aspect,"['On tap', 'Abundant', 'Easily obtainable', 'Accessible', 'Obtainable at short notice', 'Instantly obtainable', 'Convenient', 'Quickly available', 'Immediate', 'Instantly obtainable', 'Available at any time', 'Readily accessible', 'Within reach', 'Available at any moment', 'Promptly available', 'Quick-fetching', 'Directly obtainable', 'Instantaneously accessible', 'Quick-fetching', 'Instantaneous']"
Waterway ,canal,"[""Here's a list of words that match that clue:"", 'On tap', 'Abundant', 'Accessible', 'Convenient', 'Quick-fetching', 'Promptly available', 'Instantaneous', 'Instantly obtainable', 'Easily obtainable', 'readily available', 'readily at hand', 'readily at our disposal', 'readily at our service', 'readily at our fingertips', 'readily at our disposal', 'readily at our command', 'readily available', 'readily at our disposal', 'readily at our service', 'readily at our beck and call']"
Island country in the Persian Gulf ,bahrain,"['Therefore, the words that match the clue are:', 'On tap', 'Abundant', 'Easily obtainable', 'Accessible', 'Instantly obtainable', 'Convenient', 'Quick-fetching', 'Directly obtainable', 'Promptly available', 'Up-to-the-minute', 'Available at short notice', 'Readily accessible', 'Within reach', 'Available at short notice', 'Quick-fetching', 'Straightforward to obtain', 'Directly obtainable', 'Instantaneously accessible']"
Monkey - factor in blood ,rhesus,"['Abundant', 'Easy access', 'Convenient', 'Conveniently', 'Quickly', 'Instantly', 'Promptly', 'Promptly available', 'Straightforward', 'Instantly', 'Handy', 'Accessible', 'Available', 'Easily obtainable', 'At hand', 'Ready at any moment', 'Available in sufficient quantity', 'Ready at any time', 'Available at any time', 'Ready at the moment']"
Cuppa brewer ,teapot,[]
Tour and examine ,see over,[]
Chaser of criminals for reward ,bounty hunter,[]
Neglected child,waif,[]
