CLUE,ANS,POS,FOUND IN
Set of rungs ,ladder,2,Ladder rungs
"Fuse, combine",coalesce,13,Coalesce diverse aspects
Page or foliage ,leaf,1,Leaflet
Surprise attack ,raid,15,Unanticipated raid
Motherly ,maternal,8,Maternal instincts
Underwater detection system ,sonar,9,Sonar detection system
Command for tidiness ,order,4,Orderly setup
Spring hoax victim ,april fool,3,April Fool's target
Strong building material ,concrete,9,Concrete (commonly used for strength)
One removed by winnowing ,husk,3,Husked
Picture,image,5,Imagery-based answer
One of the living dead ,zombie,19,Zombie-like figure
Group of players ,team,1,Team members
