CLUE,ANS,POS
Man-made lake or tank,reservoir,1
Nonmilitary person ,civilian,1
US state ,kansas,15
Runs at (anag) -- Roman god ,saturn,6
False excuse ,pretext,1
Additional cost,surcharge,4
Lizard that can change its skin colour ,chameleon,1
Indian tea state ,assam,1
Without a particular aim or purpose - say a choice ,random,5
"Fake, phoney ",bogus,2
Decorates ,adorns,1
Zero,nil,2
Pressing of a dangerous situation to the limit,brinkmanship,1
Person with refined tastes in food and drink ,epicure,2
Rabbit coop ,hutch,1
Soundless ,silent,2
Get off a horse,dismount,1
Resident ,citizen,2
Magical being ,fairy,2
Capital of South Carolina ,columbia,1
"Guest, caller ",visitor,1
Capital of Rwanda ,kigali,1
Morally right ,ethical,1
Shrink ,dwindle,17
Organ of sight ,eye,1
Structure in an apiary,beehive,1
Beatrix Potter character ,peter rabbit,1
Unruffled ,composed,3
Military group ,troop,7
Builder's safety wear ,hard hat,1
Jealous emotion - deadly sin,envy,1
