CLUE,ANS,POS,FOUND IN
Voice between contralto and soprano ,mezzo,2,Tenor-mezzo
Dog's lead ,leash,1,Pet leash
Engrave ,etch,4,Etched onto glass
In due course,later,11,Sooner or later
Utter ,say,6,Say out loud
High mountain pass ,col,20,Thermal col
Jump suddenly ,leap,1,Unexpectedly leap
Winding sheet ,shroud,3,Linen shroud
Blackberry plant ,bramble,2,Brambles
Liquorice-flavoured liqueur,sambuca,13,Sambuca (an Italian anise-flavoured liqueur that can complement the taste of liquorice when paired correctly)
"... vera, a soothing plant ",aloe,11,Aloe vera (soothing properties for skin)
Hairy,hirsute,11,Hirsute (meaning covered with hair)
Root used as a coffee substitute ,chicory,2,Chicory root
