CLUE,ANS,POS
Former West German capital ,bonn,1
Small in length ,short,5
Impractically idealistic,quixotic,11
Instinctive ,intuitive,3
That which is aimed at ,target,1
"'Jeers, provokes (6)' ",taunts,2
Mediocre ,average,1
Peculiar in behaviour ,quirky,3
Puts on a play ,stages,3
Flax fabric ,linen,1
University teacher ,lecturer,2
Sudden thrust in fencing ,lunge,1
Organic matter in topsoil ,humus,1
Group of elements working as a whole ,system,4
Unintelligent ,stupid,9
Guffaw ,laugh,2
Pull a face ,grimace,1
Parisian tower designer ,eiffel,1
One in loco parentis ,guardian,1
"Career, calling ",vocation,2
Unit of energy ,erg,7
