CLUE,ANS,POS
Talon ,claw,1
Incapable of motion ,immobile,2
Degree document ,diploma,1
Young horse ,colt,1
Showy flower ,orchid,1
"Deadlock, stalemate",impasse,1
Genuflect,kneel,3
Spoil ,mar,1
Colour for aristocracy or emperors ,purple,2
Outshine ,excel,2
Flock,herd,1
Night-flying insect ,moth,2
Spiny succulent ,cactus,1
Fine earthenware ,porcelain,7
Imaginary place of great wealth and opportunity ,el dorado,5
Cosmos ,universe,1
Cordial,warm,9
"Detached, kept apart ",isolated,3
Claw ,talon,3
"Tall building of offices, flats ",tower block,8
Carnivorous large cat,tiger,2
Accelerate - promotion ,step up,4
