CLUE,ANS,POS
Decoration ,embellishment,3
Person whose earnings support the family ,breadwinner,1
Man-made lake or tank,reservoir,1
Roman fortification between the Forth and Clyde ,antonine wall,1
Filled pasta squares ,ravioli,3
Nonmilitary person ,civilian,1
Impelling ,urging,1
False excuse ,pretext,1
Additional cost,surcharge,4
Lizard that can change its skin colour ,chameleon,1
Indian tea state ,assam,1
Not merited ,unearned,3
"Fake, phoney ",bogus,2
Decorates ,adorns,1
Zero,nil,1
"Subject to change, variable ",unstable,19
Saint and King of Norway ,olaf,1
Pressing of a dangerous situation to the limit,brinkmanship,3
Person with refined tastes in food and drink ,epicure,2
