CLUE,ANS,POS,FOUND IN
Ban ,outlaw,5,Outlawed
Living in trees ,arboreal,1,Arboreal lifestyle
Plenty,ample,3,Ample quantity
Author of Lady Chatterley's Lover,lawrence,2,"Lawrence's most famous works, and due to its controversial content at the time, it faced significant censorship issues before receiving widespread publication."
Rush - a job for life?,career,2,Enduring career: Implies longevity and lasting success over time.
Fall down ,tumble,1,Trip and stumble
Mount . . . . . . . . in USA has carved heads of presidents ,rushmore,1,Mount Rushmore features presidential busts
Proverbially gluttonous seabird ,cormorant,7,"Cormorant (though generally known as efficient predators, they could represent excessive eating through anthropomorphism)"
Determined attempt ,effort,1,Focused effort
Comparable ,similar,1,Similar: Equivalent
Toothed wheel driven by a chain ,sprocket,5,Sprocket-and-chain assembly
Heavenly being ,angel,12,Celestial spirit (more associated with angels or celestial spirits rather than the general concept of divinity)
Chances ,odds,6,Favorable odds
Insubstantial,thin,10,"Thin-spoken (metaphorically, can imply lack of substance)"
