CLUE,ANS,POS,FOUND IN
"Flee from restraint, allow to pursue like dog ",unleash,2,Unleashed
Supporter ,ally,14,Enthusiastic ally
Arrive at ,reach,18,Timely reached
Stems of asparagus as weapons ,spears,2,Thorny spears
"Grant, confer ",award,1,Award bestowal
Enduring ,perennial,21,Perennial value
Tool for cutting grass with blade on long pole ,scythe,7,"Scythe (historical or novelty use, but associated with cutting grass in wide areas)"
Agricultural complex ,ranch,17,Livestock ranch
Chest bone ,rib,4,Ribcage centerpiece
Military encirclement ,siege,2,Besieged
Physician (informal) ,medic,4,Medico
Short-long metrical foot ,iamb,3,Iambic meter
Area with frozen subsoil ,tundra,7,Tundra foundation
Candle fibre ,wick,6,Cotton wick
Wrap; pupa's protection ,cocoon,2,Cocoon shelter
