CLUE,ANS,POS,FOUND IN
Famous person (sl.) ,celeb,9,Big name celebrity
Operatic ego ,diva,6,Egotistical diva
Acquiring skill or knowledge ,learning,1,Learning process
Animal with two feet ,biped,1,Bipedal creature
Calif. university; Irish philosopher ,berkeley,1,"UC Berkeley: University of California, Berkeley - renowned for its diverse academic programs and rich intellectual environment, with a vibrant community that includes numerous scholars who may delve into philosophical discourse."
Composed of three parts ,ternary,3,Ternary: Having three elements
Developing in small steps ,gradual,1,Gradual progress
Like lawns or pasture ,grassy,1,Grassy expanse
Pretentiously imposing -- organised (anag) ,grandiose,6,Grandiosely methodical
"Smooth, glossy ",sleek,12,Effortlessly sleek
"Really dirty, filthy ",mucky,13,Slippery and mucky
Pupil - erudite person ,scholar,1,Scholarly
Bomb fragments,shrapnel,1,Shrapnel pieces
Attack ,raid,9,Raiding action
Give fresh life to ,renew,9,Renew vitality and vigor
Sea duck with soft down ,eider,6,"Eider Ducks (these sea ducks are renowned for their exceptionally soft and fluffy plumage, particularly in females)"
Cairo landmarks ,pyramids,1,Pyramids of Giza
Venom ,poison,1,"Poisonous substance produced by certain animals, insects, or marine creatures"
