CLUE,ANS,POS
Tramp ,vagrant,10
Middle Eastern dessert ,baklava,1
Worthy or praise ,laudable,2
Formal headdress,top hat,1
Book of maps ,atlas,1
Inhabit ,occupy,9
Decorative clasp ,brooch,1
Attractive - I'm so new (anag),winsome,16
Penetrate ,pierce,4
Keep in a certain state ,maintain,1
Blessing or good wishes to traveller ,godspeed,4
Inveterate ,habitual,1
Sphere of activity ,domain,1
"Gyrate, reel ",spin,2
Oil platform ,drilling rig,1
Layman ,amateur,13
Liable to break easily ,fragile,1
Flower container,vase,1
(Of music) not in a key ,atonal,1
A horse's feet ,hooves,1
"Inhabit, take up space ",occupy,1
Overland journey by hunters ,safari,1
Large bus,double-decker,3
The breastbone ,sternum,1
