CLUE,ANS,POS,FOUND IN
Wheedle - coax,cajole,3,Cajole softly
Retail branches ,outlets,1,Commercial outlets
Fail; girl ,miss,3,Missed milestone
Helixes ,spirals,2,DNA molecule: The famous double helix model of the genetic material found in living organisms is composed of two intertwined strands resembling spirals or helices.
Obligation ,duty,11,Obligatory duty
Sporting missile,discus,4,Launched discus
"'Once . . . . . ., twice shy' ",bitten,1,"Once bitten, twice cautious"
Delight; magical object ,charm,3,Charming
Books of maps ,atlases,19,Pictorial Atlases
Standard score for golfers ,par,1,"Handicap index: A numerical value assigned to a golfer that represents their potential average score on a standardized course, considering their skill level compared to the general population."
Improved ,enhanced,1,Enhanced performance
Radio interference ,static,1,Static-filled audio
Genuine ,sincere,4,Authentically sincere
Abusive harangue ,diatribe,3,Incendiary diatribe
Female classical dancer,ballerina,1,"Ballerina: A female ballet performer, typically trained at a dance school or conservatoire, known for her gracefulness and technical skill in executing complex choreography."
Snooker stick ,cue,1,"Cue - a stick with a leather tip, used for playing snooker or pool"
Dagger,stiletto,13,Stiletto-like tool
Weather ,climate,1,"Climate: The long-term pattern of weather in a particular area, including temperature, humidity, rainfall, and other meteorological factors."
Specialised language,jargon,2,Industry-specific jargon
An aromatic herb ,marjoram,12,"Marjoram: With a sweet and citrusy fragrance, similar to oregano but milder in taste."
Skating venue ,rink,1,Ice rink
Happen again ,recur,1,Recurrence
First performance ,premiere,16,Groundbreaking premiere
