CLUE,ANS,POS
Mechanical device preventing a wheel slipping backwards,ratchet,1
Maritime ,nautical,3
Origins ,roots,7
Evaluations ,assessments,1
Travel through an area to learn about it ,explore,1
Follower of religion founded by Joseph Smith Jr. ,mormon,1
State-of-the-art ,cutting-edge,1
Inappropriate ,improper,4
Attack by planes,air raid,3
The kneecap ,patella,1
Subdivisions in theatre ,scenes,2
Part of a machine with a plunging motion ,piston,1
Object much prized by enthusiasts ,collector's item,1
Unit of current ,ampere,1
