CLUE,ANS,POS,FOUND IN
European capital ,prague,9,Prague (Czech Republic)
"Irish organisation for women, initially ",ica,5,Women's Political Association of Ireland (WPAI)
Particles of stone/sand ,grit,11,Sandstone grit
Tried to locate ,searched,1,Searched high and low
Lounge ,recline,1,Recliner
Something abnormally large and powerful ,behemoth,19,Colossal behemoth
Record ,disc,1,Disc recording
Small lie ,fib,2,Tiny fib
"John, Paul, George and Ringo ",beatles,1,The Beatles
Magnitude ,size,15,Unbounded size
