CLUE,ANS,POS,FOUND IN
24 Down in Nottinghamshire ,newark,2,Newark (a city within Nottinghamshire)
One thought guilty of a crime,suspect,1,Suspect 
Fianc?(e) - proposed ,intended,11,Intended bride
Baleful ,ominous,3,Ominous (giving the impression that something is wrong or going to go wrong)
Closely compacted ,dense,1,Condensed
Peak (of cap); be very full ,brim,14,Brimming
Ovine animal-keeper ,shepherd,3,Eweherder - someone who tends to ewes or female sheep within a larger shepherding role.
Sudden and complete collapse ,fiasco,16,Fiasco (utter disaster)
Pound (slang) ,quid,2,Quid - The British equivalent of a pound sterling; can also mean 'a great deal' in different contexts.
Submarine's eye? ,periscope,1,Periscope (a device used on submarines for viewing above the surface while remaining submerged)
Richard . . . . . . composer of 'The Flying Dutchman' and 'Lohengrin' ,wagner,2,"Wagner (Richard Wagner composed both ""The Flying Dutchman"" [Der fliegende Holländer] and ""Lohengrin"")"
Metal joint,weld,8,Welded metal interface
"Call on, go to see ",visit,3,Drop-in (unannounced visit)
Best possible,ideal,2,Ideal scenario
