CLUE,ANS,POS,FOUND IN
Sleeveless cloak ,cape,5,Hooded cape
Town in county Fermanagh ,enniskillen,1,"Enniskillen (also known as 'Enniskelly' or just 'Enniskell', it's the largest town in County Fermanagh, Northern Ireland.)"
Turning point ,pivot,1,Pivotal moment
Very hot; making bread ,baking,9,Toasty (when used for bread baking environments)
Touching lightly so as to cause laughter ,tickling,3,Tickling (in a playful sense)
American Indian people ,nation,3,"First Nations (in Canada, but also used in the U.S.)"
Paterfamilias ,patriarch,3,Patriarchal leader (emphasizes his role as the household authority)
Keeping hon. title in retirement ,emeritus,17,Noble Scribe Emeritus
The official who ensures fair play ,referee,2,Referee (common in many team sports)
Worry ,fret,14,Frets (slang for worries)
