CLUE,ANS,POS
"Disclose, make known",reveal,2
Smoothing with heat ,ironing,1
Rub out ,erase,1
Causing death ,lethal,3
Ruler ,king,1
Cultivate ,nurture,3
Do away with ,abolish,10
Spooky ,eerie,1
Diminutive inhabitant of Hundred Acre Wood ,roo,7
Prize ,trophy,3
Plant with edible stalks ,celery,3
Accumulate ,hoard,3
Small hard growth on skin,wart,3
Matrix; arrange ,array,5
Capital of Sweden ,stockholm,1
Aubergine ,eggplant,1
"Eg, arras, Gobelin ",tapestry,1
Extent of something's outer part,surface area,17
