CLUE,ANS,POS
"Intermission, during a play say ",interval,8
Homeric legendary island of King Odysseus ,ithaca,1
Keen ,eager,5
Of the immediate past ,recent,1
Alias ,pseudonym,2
Upper-body armour piece ,cuirass,2
Slow a vehicle ,brake,1
Flat-topped height ,plateau,1
"Manifest, show ",evince,14
Offspring of two different species ,hybrid,1
Large snake ,boa,4
Medicine for constipation ,laxative,2
Garland with flowers ,festoon,2
Small dark-purple plum ,damson,3
"Detect, be aware of ",sense,8
Loft ,attic,1
Too tolerant or generous ,indulgent,5
Artificial fibre ,nylon,4
"Hi, howdy ",hello,5
