CLUE,ANS,POS
Prickly plant with purple flowers ,thistle,1
Ignored ,neglected,2
An alloy of mercury with another metal ,amalgam,1
Very beautiful or sensitive,exquisite,2
Land covered with trees ,forest,1
- May Alcott; author ,louisa,1
Bay State ,massachusetts,1
Wesleyan ,methodist,1
Cleaning implement ,mop,2
Not achieving one's aim ,unsuccessful,2
Holy ,sacred,1
One of Santa's reindeers,prancer,3
System of beliefs,creed,6
Story ,tale,2
Insurgent ,rebel,1
Graduates of a college ,alumni,1
"High-pitched, piercing ",shrill,2
Pretending shyness ,coy,1
"Pledges, vows ",promises,1
Group of fish ,shoal,2
Drawings showing how things work ,diagrams,1
US Department of Defense ,pentagon,7
Fast-moving stream ,torrent,2
Prolonged public dispute,controversy,3
In a happy mood ,cheerful,2
Tiny particles ,atoms,1
Hold affectionately ,embrace,2
"Alleviates, relieves ",eases,1
Universe ,cosmos,1
Magical or medicinal potion ,elixir,1
Continent ,asia,2
Event causing great damage ,catastrophe,1
Totalitarian Russian leader,stalin,1
Resolve; come down ,settle,1
