CLUE,ANS,POS
Landed property ,estate,1
Sheep meat ,mutton,2
Work imitating various sources,pastiche,1
Withdraw ,pull out,2
Geometrical figure ,triangle,1
Nudists ,naturists,1
Deride - mock ,jeer,6
Upper chamber of Parliament ,house of lords,2
Light-sensitive membrane in the eye ,retina,2
Carved or cast figure ,statue,1
Bodies of (usually fresh) water ,lakes,1
Door support ,hinge,1
Consented ,agreed,1
Postpone ,defer,2
Countryside walker,rambler,2
Dickens novel,hard times,6
Bringer of freedom,liberator,1
