CLUE,ANS,POS
Move unsteadily (like a jelly?),wobble,6
One serves at table ,waiter,1
The art of growing ornamental dwarfed plants ,bonsai,1
(Usually) fizzy drink ,lemonade,8
Of regions around the North Pole ,arctic,1
Installer of mains-powered equipment ,electrician,1
Chair of the monarch ,throne,1
Admission ,entry,3
100 years ,century,1
Acclaim ,praise,11
Of little importance ,trivial,5
Diplomatic messenger ,envoy,1
Fossilised resin ,amber,1
Graduates of a college ,alumni,1
Guided anti-ship missile ,exocet,7
