CLUE,ANS,POS,FOUND IN
Take on ,adopt,4,Adopt an attitude
"Thyme, for example",herb,10,"Thyme-substitute herb (e.g., hyssop) "
"Cunning, deceit ",guile,8,Guileful
Family,kin,1,Kinfolk
Principal actor in a film ,star,3,Starring Role
Tedious task ,chore,4,Mundane chore
Melancholy ,blue,9,Blue (in the sense of being sad)
Soon: in an abbreviated manner,shortly,2,"Shortly, just wrapping up here."
Cultivated grass,lawn,1,Turfgrass (commonly used on sports fields and lawns)
"Of soldier, illegally absent - initially ",awol,2,Absent without leave (AWOL)
Littoral region ,coast,1,Coastal zone
Arrive at ,reach,1,Reach a destination
