CLUE,ANS,POS
Lock openers ,keys,1
One serves at table ,waiter,1
Long-winded ,prolix,2
Baby frogs ,tadpoles,1
Tether,leash,8
Level a charge against ,accuse,1
Prickling sensation ,tingle,6
Of figures ,numerical,19
Of regions around the North Pole ,arctic,1
Shouting ,yelling,1
Spread; improvise (jazz) ,jam,1
Installer of mains-powered equipment ,electrician,1
Chair of the monarch ,throne,1
Admission ,entry,1
Joint of the body ,shoulder,5
100 years ,century,1
Acclaim ,praise,1
Of little importance ,trivial,3
Diplomatic messenger ,envoy,2
Fossilised resin ,amber,1
Graduates of a college ,alumni,1
Immediate ,instant,1
Guided anti-ship missile ,exocet,2
