CLUE,ANS,POS,FOUND IN
Ben Hur's car ,chariot,1,Charioteer's steed
Hallucinatory state of wild excitement,delirium,18,Euphoric delirium
Pay no attention to ,ignore,2,Ignore completely
A friendly informal conversation ,chat,2,Chatting away
Comparatively good ,better,1,Better than average
Of the same value ,equal,1,Equal worth
Book of the Bible (wrongly) attributed to Solomon ,song of songs,2,"Song of Songs (also known as the Song of Solomon, its authorship is debated)"
Priest's assistant,server,10,Altar server
House of concubines ,harem,1,Caliph's harem
Danger ,hazard,2,Hazardous
Dorset seaside resort ,swanage,3,Swanage Bay
