CLUE,ANS,POS,FOUND IN
Insinuate ,imply,2,Imply without stating outright
Add by conquest or occupation,annex,1,Acquired through annexation
Rubber covering on a wheel ,tyre,2,Tyre (British English spelling)
Take goods from (ship) ,unload,8,Unloading
"___ Jones, Harrison Ford hero - US state",indiana,13,"Indiana (The birthplace of his father, which is a part of Ford's family history)"
Small square tile used in mosaics ,tessera,1,Tesserae
"Plan of action, tactics ",strategy,8,"Attention Control & Processing Speed Enhancement: To swiftly process information, I would maintain a high level of focus while also being agile enough to adjust my strategy as needed during the solving process."
Effervescence,fizz,3,Fizziness
Usher in ,introduce,5,Introduce oneself graciously
Hindu sage or saint ,rishi,1,"Rishi (male saint, seer in Vedic tradition)"
Immoderate eater ,glutton,2,Gluttonous
Personal teacher ,tutor,3,Educational tutor
French port ,le havre,17,Autorité portuaire Le Havre Seine Aval
Gain knowledge ,learn,2,Learn a skill or concept
Frightened ,scared,3,Scared stiff
"Refuse, litter ",rubbish,17,Improperly disposed rubbish
White coloured,chalky,9,Chalky tint
Spiritualist meeting presided over by medium ,seance,3,Seance session
"Dazed or unconscious condition, sometimes caused by alcohol ",stupor,7,Drunken stupor
