CLUE,ANS,POS,FOUND IN
Note equivalent to four crotchets ,semibreve,15,"One semibreve, if each crotchet is worth two beats "
"Cabbage, sprouts etc ",greens,9,Mustard greens
Chop or cut with axe ,hew,8,Hewing
Conservative ,tory,13,Preserving history or heritage
Hungarian composer ,liszt,1,Liszt Ferenc (Franz Liszt)
A brainwave?,idea,4,Cerebral Impulse - A spontaneous mental impulse that can lead to an idea or solution.
Sudden seizure of power ,coup,1,Coup d'état
Imaginary horses ,unicorns,15,Unicorns (mythical horse-like creatures with a single horn)
Amphibian - a Ken Livingstone pet?,newt,3,Newt (although less common)
Backhander,bribe,1,"In non-sports terms, it can also mean a substantial and often sudden financial contribution or bribe given discreetly."
Blow air through (grain) to remove chaff ,winnow,1,Winnowing
Newspaper with half-size pages ,tabloid,1,Tabloid (referring to the smaller size compared to standard newspapers)
