CLUE,ANS,POS,FOUND IN
Welsh dog ,corgi,7,"Pembroke Welsh Corgi (related to Welsh heritage rather than specific to ""Welsh"")"
Printer's medium ,ink,2,Inkjet substrate
Row with two oars,scull,4,Double sculls
Secretly follow ,tail,4,Discreet tailing
Furthest inward ,inmost,6,Inmost part
Inflamed swelling ,boil,8,"Boiling (metaprompt only, use in context)"
College administrator ,dean,3,University dean
Hand tool,spanner,12,"Spanner set (a collection of spanners, which are hand tools for tightening or loosening bolts and nuts)"
Reflecting glass ,mirror,1,Mirror-like
Financial gain ,income,5,Income increase
Honey producer ,bee,2,Beekeeper
Brief decline from high standards ,lapse,8,Fleeting lapse
His wings melted when he flew too near the sun ,icarus,13,Icarus-like wings
Covering of tree trunk,bark,1,Bark encasement
Layer ,tier,8,Tiers
