CLUE,ANS,POS,FOUND IN
Dessert ,sorbet,23,Sorbet selection (referring to a variety of fruit sorbets)
Thick liquid that doesn't dissolve in water ,oil,3,Oil-based substance
Capacity to become ,potential,1,Equipped with potential
Underworld ,hell,3,"Inferno (a representation of hell, especially Dante's nine-level depiction in ""The Divine Comedy"")"
Tear into scraps ,shred,1,Shredded
Riding trousers ,breeches,14,Riding breeches (for equestrian activities)
Standard ,norm,1,Normal or typical
Brazilian tree or its wax ,carnauba,1,"Carnauba: A palm tree native to Brazil that produces a waxy substance used in various applications, including confectionery coatings."
"Wheedle, coax ",cajole,8,Persuade with cajolery
Recovery of youth,rejuvenation,3,Rejuvenation: The act of becoming fresh and lively again; youthfulness restored.
Myths ,legends,9,Primordial legends
Moon feature ,crater,2,Highlands: Elevated lunar terrain that is heavily cratered and less dense than maria
Rebirth in a new body ,reincarnation,9,Reincarnation (in philosophical or spiritual contexts)
Bring back into good condition ,rehabilitate,11,Rehabilitate (if referring to a person or community's overall condition)
