CLUE,ANS,POS,FOUND IN
Food grain ,cereal,14,Teff (a small-grained cereal from Ethiopia)
Means of help in project ,resource,1,Resourcefulness
Ha-ha or peculiar? ,funny,9,Funnyman
CS Lewis' fictional realm,narnia,1,"Lewis is known for his fantastical worlds, particularly the land of Narnia in his Chronicles of Narnia series"
Units of sound intensity ,decibels,2,"Bel - an older unit of sound intensity, equal to 10 decibels."
Froth ,suds,8,Sudsy
Disease of pigs ,swine fever,3,African swine fever
Bird used in falconry ,goshawk,2,"Goshawk: One of the most popular breeds for falconry, known for their agility and speed."
"-- Radcliffe, English long-distance runner ",paula,1,Paula Radcliffe
Reuse (old ideas) with little improvement ,rehash,12,Rehashed (recycling old ideas without adding value)
