CLUE,ANS,POS,FOUND IN
European capital ,prague,6,Prague (Czech Republic)
"Irish organisation for women, initially ",ica,1,"This Irish republican women's paramilitary organization was founded during the early stages of the Easter Rising in 1914, and they played a significant role in Ireland's struggle for independence from British rule."
Jump on one foot ,hop,3,Hop (both in its noun form referring to the jump itself and verb form)
Tried to locate ,searched,1,Searched for
Tangible ,tactile,7,Tactile article
Curved oriental sabre ,scimitar,2,"Scimitar (a term often used to describe the broad, curved blades associated with Middle Eastern and Oriental swords)"
Closely-stitched embroidery ,needlepoint,3,Needlepoint artistry
Transporting vehicle ,van,4,Van (enclosed cargo vehicle often used for commercial purposes)
"John, Paul, George and Ringo ",beatles,2,"If the intended solution was indeed ""The Beatles"" and if the crossword required an abbreviation, you might see ""T-B,"" but this doesn't seem to be the case here"
Friendly - type ,kind,11,Kindly
Magnitude ,size,3,"**Geological Magnitude**: In seismology, magnitude quantifies the size or energy released by an earthquake"
