CLUE,ANS,POS,FOUND IN
Likeness; statue ,image,10,Representational image
Persistently avoid ,shun,5,Continuously shunning
"Choke, strangle",throttle,19,Fatal throttle
Rich soil ,loam,10,Loamy bed
Greek letter E ,epsilon,3,Epsilon (ε) - used to denote small quantities or error margins in mathematics.
From Castro's island ,cuban,10,Cuban socialist state
"Indira -, Indian PM ",gandhi,1,"Gandhian principles: While not directly associated with her hunger, Indira Gandhi was known for embodying the ideals and ethics championed by Mahatma Gandhi, including simplicity and self-sustenance when necessary."
Close acquaintance ,friend,1,Nearby friend
"Devilment, impishness ",mischief,7,Sneakily mischief-making
Part of country surrounded by foreign territory,enclave,2,Enclaved region
Leave out ,omit,9,Absent-mindedly omitted
Imprison ,incarcerate,6,Incarcerated
Fully developed ,mature,1,Matured
Armed soldier (hist.) ,musketeer,13,"Harquebuser (a type of musketeer, prevalent in 16th-century Europe)"
