CLUE,ANS,POS,FOUND IN
Original New Zealanders ,maori,2,Maori people
Desert in China/Mongolia; cauliflower (Ind.) ,gobi,2,Gobi desert (in Mongolia)
Formal dress ,attire,3,Business attire
Take a pew,sit,2,Rested position
Reserve specially ,earmark,13,Particularly earmarked
Relating to verse - based on the metre ,metric,4,Metrical
Celestial body of hot gases ,star,10,Astral corona (specific to stars)
Reach ,attain,1,Attainable
Pursue,chase,1,Chase after
Remain ,stay,1,Staying put
Devil ,demon,6,Demonic
Jupiter is one ,planet,2,Largest planet in the Solar System
