CLUE,ANS,POS
Moroccan stew cooked in a pot with a conical lid ,tagine,1
Adversary ,opponent,5
Oblivious ,unaware,1
"- Blyton, children's writer ",enid,1
"American state, capital Montgomery ",alabama,1
"Surreptitious, furtive ",stealthy,1
Tenth month,october,1
"Metal, symbol Cr ",chromium,1
Hearth ,fireplace,1
"Awful, dreadful ",terrible,2
Backs of legs ,calves,4
Wordy ,verbose,1
Tailless marsupial down under ,wombat,1
(In medicine) an alcoholic solution of a drug ,tincture,1
Small mound from burrowing ,molehill,2
Town in Surrey ,woking,1
Causing fermentation,yeasty,1
Movie ,film,2
Vedic hymn ,mantra,1
