CLUE,ANS,POS
Type of nut ,cashew,4
Least fatty ,leanest,4
Without assistance ,unaided,2
Deliver from danger ,rescue,1
Make known to others ,reveal,2
Salad vegetable ,lettuce,1
Minor argument ,tiff,3
Pluck strings ,strum,7
Precious stone ,sapphire,3
Bird's beak ,bill,1
Osteopath's technique ,manipulation,1
Hidden microphone ,bug,3
Tiny amount,iota,10
Tycoon ,magnate,7
Drink deeply,quaff,1
Cheerfully willing to do favours ,obliging,10
Finger-shaped cake with cream filling ,eclair,3
Waste away,fade,9
Within the bounds of belief,credible,1
