CLUE,ANS,POS
Locomotive ,engine,1
Mythical story ,legend,4
American (colloq.) ,yank,1
"Tremendous, gigantic ",enormous,2
Branch of linguistics concerned with meanings ,semantics,1
Cause of disgust ,abomination,1
Synthetic fabric ,nylon,2
Former name of Istanbul ,constantinople,2
Protection from the rain ,umbrella,1
Absolutely sure ,certain,2
Male shop worker ,salesman,1
"Annoyed, bored ",fed up,18
Drunken spree ,bender,2
Wish ,hope,2
Acquire ,obtain,1
Stretch of time ,period,3
Wee ,tiny,1
Feeling guilty ,ashamed,6
Pleasure boats ,yachts,1
"Caribbean country, capital Port-au-Prince ",haiti,1
