CLUE,ANS,POS
In an astute manner ,shrewdly,2
Adult male ,man,1
Not present ,absent,1
Run in drops ,trickle,3
Woody tropical grass ,bamboo,1
Microscopic organisms ,bacteria,1
Wave rider ,surfer,1
Newt-like amphibian ,salamander,1
Legitimate - deserved ,rightful,12
Absence of emotion or enthusiasm ,apathy,1
Period (of work); incantation ,spell,1
Mildly diverted or entertained ,amused,1
Entrust responsibility to an agent ,delegate,2
Grow mature like fruit ,ripen,2
Opposite of light,dark,1
Receptacles for cut flowers ,vases,1
"Eg, spaghetti ",pasta,1
Require ,need,1
Person dying for a cause,martyr,1
