CLUE,ANS,POS
Cultivated plot of ground ,garden,1
Pull hard ,heave,6
Particular feature ,aspect,8
Waterway ,canal,2
Island country in the Persian Gulf ,bahrain,1
Chaser of criminals for reward ,bounty hunter,1
Bring to a close ,end,1
Lights in transparent cases ,lanterns,7
Type of savoury tart ,quiche,1
Vocalist ,singer,1
Job ,occupation,2
Act imposed for sin ,penance,1
"Go regularly to, church perhaps ",attend,1
Perceive,notice,2
"Put down, degrade (6). ",demean,6
Ungenerous,stingy,1
Rotate ,spin,2
Forbearing ,tolerant,2
Decay in teeth ,caries,2
Historic area of France once part of Aquitaine ,poitou,1
Rainwater channel,gutter,2
Of dogs,canine,1
Price of passage ,fare,1
"Hat, for a country-and-western singer perhaps",stetson,2
Outline drawing ,sketch,1
Abraham's wife (OT) ,sarah,1
Not ready enough for action ,underprepared,20
Spotted; saw ,espied,12
Power of creative thought ,imagination,2
End of day ,sunset,1
