CLUE,ANS,POS
"Inscribed slab found 1799, making it possible to decipher Egyptian hieroglyphics ",rosetta stone,1
Hard Italian cheese,parmesan,1
Band worn around the neck ,choker,2
Tiredness,fatigue,1
Exotic flower ,orchid,1
Stated firmly ,asserted,2
Bovine animals ,cattle,9
Hostelry for travellers ,inn,2
Set of clothes or group of people ,outfit,3
Items of cutlery ,spoons,3
Immediately appealing or noticeable,eye-catching,13
It's distilled from molasses ,rum,1
Sheer fabric of silk or rayon ,chiffon,4
Mid-day ,noon,1
Lustre ,sheen,3
Period of time ,month,5
Curly-haired breed of dog ,poodle,1
"Liszt or Ravel, say ",composer,1
Gravelly courage ,grit,1
About-turn ,reversal,2
Wine merchant ,vintner,1
