CLUE,ANS,POS
"Inscribed slab found 1799, making it possible to decipher Egyptian hieroglyphics ",rosetta stone,1
Had the same opinion ,agreed,1
Band worn around the neck ,choker,3
Bovine animals ,cattle,1
Hostelry for travellers ,inn,1
Items of cutlery ,spoons,3
Immediately appealing or noticeable,eye-catching,11
Wanderer ,rover,7
It's distilled from molasses ,rum,2
Mid-day ,noon,2
"Medieval Japanese trained in martial arts, assassination and espionage ",ninja,1
US state ,indiana,17
Curly-haired breed of dog ,poodle,1
About-turn ,reversal,3
Male domestic feline ,tomcat,1
