CLUE,ANS,POS
Definite,certain,1
Merriment ,mirth,11
Receptacle for household rubbish,dustbin,4
Small red fruit ,cherry,1
Place to which one is travelling ,destination,1
Friction or division in church organisation ,schism,1
One not eating or using animal products ,vegan,1
"Element 22, makes strong non-corroding alloys ",titanium,1
Small city in Cambridgeshire ,ely,2
"Circular band of flowers and leaves, often seen on graves ",wreath,1
Member of travelling people,nomad,1
Scottish family grouping ,clan,1
Enthusiastically ,eagerly,1
